Sommet 1	 ======> Couleur : 1
Sommet 2	 ======> Couleur : 2
Sommet 3	 ======> Couleur : 1
Sommet 4	 ======> Couleur : 2
Sommet 5	 ======> Couleur : 1
Sommet 6	 ======> Couleur : 3
Sommet 7	 ======> Couleur : 2
Sommet 8	 ======> Couleur : 3
Sommet 9	 ======> Couleur : 4
Sommet 10	 ======> Couleur : 3
Sommet 11	 ======> Couleur : 2
Sommet 12	 ======> Couleur : 4
Sommet 13	 ======> Couleur : 2
Sommet 14	 ======> Couleur : 3
Sommet 15	 ======> Couleur : 3
Sommet 16	 ======> Couleur : 2
Sommet 17	 ======> Couleur : 3
Sommet 18	 ======> Couleur : 4
Sommet 19	 ======> Couleur : 1
Sommet 20	 ======> Couleur : 1
Sommet 21	 ======> Couleur : 1
Sommet 22	 ======> Couleur : 1
Sommet 23	 ======> Couleur : 1
Sommet 24	 ======> Couleur : 1
Sommet 25	 ======> Couleur : 1
Sommet 26	 ======> Couleur : 1
Sommet 27	 ======> Couleur : 1
Sommet 28	 ======> Couleur : 2
Sommet 29	 ======> Couleur : 1
Sommet 30	 ======> Couleur : 3
